code_module,code_presentation,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,dropout
0,1,1,0,0,9,2,0,240,0,0
0,1,0,6,0,2,1,0,60,0,0
0,1,1,6,0,3,0,0,60,0,0
0,1,1,4,1,10,2,0,60,0,0
0,1,0,5,0,5,0,0,60,0,0
0,1,1,2,0,10,1,0,60,0,0
0,1,1,5,0,0,0,0,60,0,0
0,1,1,3,0,6,0,0,60,0,0
0,1,1,2,1,10,1,0,60,0,0
0,1,1,8,0,8,1,0,60,0,1
0,1,1,0,0,8,1,0,60,0,0
0,1,0,0,0,9,1,0,60,0,0
0,1,0,4,1,10,1,0,60,0,0
0,1,1,12,0,6,1,0,60,0,0
0,1,1,10,0,0,0,0,60,0,0
0,1,1,1,0,3,0,0,120,0,0
0,1,0,8,0,8,1,0,60,0,0
0,1,1,9,0,6,0,0,120,0,0
0,1,1,2,0,10,1,0,60,0,0
0,1,1,0,0,9,2,0,60,0,0
0,1,1,4,0,10,1,0,60,0,0
0,1,1,5,0,7,1,0,60,0,0
0,1,1,9,0,8,1,0,170,0,0
0,1,1,3,0,1,0,0,120,0,0
0,1,1,6,0,3,1,0,60,0,0
0,1,1,9,0,8,1,0,60,0,0
0,1,1,2,0,10,0,0,180,0,0
0,1,1,3,0,6,0,0,60,0,0
0,1,1,6,1,9,0,0,60,0,0
0,1,1,8,0,9,2,0,60,0,0
0,1,1,3,0,8,0,0,80,0,0
0,1,1,0,0,9,1,0,60,0,0
0,1,0,1,0,6,1,0,60,0,0
0,1,1,3,0,2,1,0,60,0,0
0,1,1,5,0,1,0,0,120,0,0
0,1,1,5,0,3,0,0,60,0,0
0,1,1,7,0,9,2,0,60,0,0
0,1,1,8,1,9,2,0,60,0,0
0,1,0,7,0,8,0,0,60,0,0
0,1,0,1,0,1,0,0,60,0,0
0,1,1,8,1,9,2,0,60,0,0
0,1,0,0,0,8,0,0,120,0,0
0,1,1,8,0,9,2,0,60,0,0
0,1,1,0,0,4,1,0,60,0,0
0,1,0,8,0,9,1,0,60,0,1
0,1,1,6,0,8,0,0,60,0,0
0,1,0,11,0,7,0,0,60,0,1
0,1,1,12,0,0,0,0,60,0,0
0,1,1,2,0,7,1,0,120,0,0
0,1,0,6,0,5,1,0,120,0,0
0,1,1,5,0,8,1,0,60,0,0
0,1,1,8,0,9,1,0,120,0,1
0,1,1,9,0,4,0,0,60,0,0
0,1,1,10,0,5,1,0,120,0,0
0,1,1,4,0,10,0,0,60,0,0
0,1,1,12,0,5,0,0,180,0,0
0,1,1,11,0,0,1,0,90,0,1
0,1,1,9,0,8,0,0,120,0,1
0,1,1,3,0,3,0,0,60,0,0
0,1,1,7,0,9,1,0,60,0,1
0,1,1,7,0,8,0,0,120,0,0
0,1,1,5,0,8,1,0,60,0,0
0,1,1,7,0,9,0,0,120,0,0
0,1,1,5,0,4,0,0,120,0,0
0,1,1,7,0,6,0,0,60,0,0
0,1,1,11,0,8,0,0,120,0,0
0,1,0,6,0,3,0,0,60,0,1
0,1,1,11,0,7,0,0,120,0,0
0,1,1,2,0,9,0,0,120,0,0
0,1,1,8,1,9,1,0,60,0,0
0,1,1,4,0,10,2,0,60,0,1
