Student_ID,Dropout_Probability,Risk_Level,Actual_Status,Predicted_Dropout,Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Admission grade,Age at enrollment,Tuition fees up to date,Debtor,Scholarship holder,Gender
2408,99.77,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,151.0,47,0,1,0,1
2493,99.76,HIGH RISK,Dropout,Yes,7,10.428571428571429,4,10.5,128.5,26,0,1,0,1
1745,99.6,HIGH RISK,Dropout,Yes,0,0.0,1,14.0,97.4,44,0,1,0,1
1829,99.57,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,120.0,28,0,1,0,0
2255,99.53,HIGH RISK,Dropout,Yes,0,0.0,2,11.0,128.2,31,0,0,0,1
3534,99.51,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,120.0,45,0,1,0,1
3875,99.49,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,120.0,41,0,1,0,1
1382,99.45,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,128.0,32,0,0,0,1
725,99.44,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,130.0,41,0,0,0,1
3319,99.44,HIGH RISK,Dropout,Yes,1,10.0,4,10.0,115.8,28,0,1,0,1
2844,99.43,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,118.1,37,0,1,0,0
1165,99.38,HIGH RISK,Dropout,Yes,0,0.0,4,13.7,130.0,32,0,1,0,0
4085,99.38,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,109.9,29,0,0,0,0
3206,99.35,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,111.0,28,0,0,0,1
1548,99.34,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,118.4,39,0,0,0,0
2426,99.33,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,102.5,26,0,0,0,1
684,99.33,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,103.5,44,0,0,0,0
475,99.32,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,110.0,28,0,0,0,0
1851,99.3,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,120.0,23,0,0,0,1
2697,99.29,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,101.5,34,0,1,0,1
3356,99.28,HIGH RISK,Dropout,Yes,0,0.0,2,11.5,110.0,32,0,0,0,1
2472,99.27,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,110.0,29,0,0,0,1
4068,99.26,HIGH RISK,Dropout,Yes,0,0.0,0,0.0,120.0,35,0,0,0,0
